"DHL Shipping","DHL Versenden"
"DHL Business Customer Shipping","DHL Geschäftskundenversand"
"DHL Shipping Not Available","DHL Versand nicht verfügbar"
"General Settings","Allgemeine Einstellungen"
"Module","Modul"
"Title","Titel"
"Enabled for Checkout","Aktiviert"
"Yes","Ja"
"No","Nein"
"Sandbox Mode","Sandbox-Modus"
"The Sandbox mode allows testing without entering a username, password, or DHL Customer Number.","Im Sandbox-Modus können die Funktionen getestet werden, ohne Benutzername, Passwort oder DHL Kundennummer einzugeben."
"Enable Logging","Protokollierung aktivieren"
"Please ensure that the global Magento logging is also activated. Data will be written to the existing Magento logs.","Bitte stellen Sie sicher, dass auch das Magento-Log aktiviert ist. Die Protokollierung wird in die vorhandenen Magento Logs geschrieben."
"Log Level","Protokollstufe"
"Beware: Log level <em>Debug</em> will result in large log files.","Achtung: <em>Debug</em>-Protokollierung erzeugt große Log-Dateien."
"Error","Error"
"Debug","Debug"
"Account Data","Stammdaten"
"Basic account data as required in production mode","Für den Produktiv-Modus erforderliche Angaben"
"User","Benutzername (User)"
"Username for the DHL Webservice (API). This can be created in the DHL Business Customer Portal.","Benutzer für den DHL Webservice (API). Dieser kann im DHL Geschäftskundenportal erstellt werden."
"Recommendation: Create a System User in the DHL Business Customer Portal.","Empfehlung: Erstellen Sie einen Systembenutzer im DHL Geschäftskundenportal. Siehe <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000014055'>diese Anleitung</a>."
"Signature","Passwort (Signature)"
"Password for the DHL Webservice (API). This can be created in the DHL Business Customer Portal.","Passwort für den DHL Webservice (API). Dieses kann im DHL Geschäftskundenportal erstellt werden."
"EKP","DHL Kundennummer (EKP)"
"See the Knowledge Base tutorial on how to configure the EKP.","Siehe <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000024658'>Anleitung</a> in der Wissensdatenbank zur Konfiguration der EKP."
"Your DHL Customer Number (Account Number / EKP) from the DHL Business Customer Portal.","Ihre DHL Kundennummer aus dem DHL Geschäftskundenportal."
"Participation Numbers","Teilnahmenummern"
"Your Participation Numbers for each available DHL product. These can be found in the DHL Business Customer Portal.","Ihre Teilnahmenummern für die verfügbaren DHL Produkte. Sie finden diese im DHL Geschäftskundenportal."
"Procedure","Verfahren"
"Participation","Teilnahme"
"See the Knowledge Base tutorial on how to configure the Participation Numbers.","Siehe <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000024658'>Anleitung</a> in der Wissensdatenbank zur Konfiguration der Teilnahmenummern."
"The participation is 2 numerical digits from 00 to 99 or alphanumerical digits from AA to ZZ. It is allocated by DHL Sales.","Die Teilnahmenummer ist 2-stellig numerisch von 00 bis 99 oder alphanumerisch von AA bis ZZ. Sie wird vom DHL Vertrieb vergeben."
"Shipment Orders","Versandaufträge"
"Print Only If Codeable","Nur leitkodierbare Versandaufträge erteilen"
"If set to <em>Yes</em>, shipping order requests will only return a label if the DHL delivery address verification succeeds.","Ist diese Option auf <em>Ja</em> gestellt, so wird nur dann ein kostenpflichtiges Label erstellt, wenn die DHL-Adressprüfung erfolgreich ist."
"Send receiver phone number","Empfänger-Telefonnummer übertragen"
"If set to <em>Yes</em>, the buyer's phone number will be transmitted to DHL.","Ist diese Option auf <em>Ja</em> gestellt, wird die Telefonnumer des Käufers an DHL übermittelt."
"Address Validation","Adressprüfung"
"OK","OK"
"Cancel","Abbrechen"
"Weight Unit","Gewichtseinheit"
"Select the weight unit that is used in your Product Catalog.","Geben Sie die Einheit für das im Katalog verwendete Produktgewicht an."
"Grams","Gramm"
"Kilograms","Kilogramm"
"Shipping Methods for DHL Shipping","Versandarten für DHL Versenden"
"Cash On Delivery Payment Methods for DHL Shipping","Nachnahme-Zahlarten für DHL Versenden"
"Select shipping methods for rate calculation in checkout.","Wählen Sie Versandarten für die Versandkostenberechnung im Checkout."
"Selected shipping methods will be processed with DHL Shipping.","Die gewählten Versandarten werden Versandaufträge bei DHL Versenden erzeugen."
"These payment methods will be treated as Cash On Delivery (COD) methods during shipping order requests.","Diese Zahlarten werden bei der Übermittlung von Versandaufträgen als Nachnahme-Zahlart behandelt."
"COD Charge","Nachnahmegebühr"
"Cash On Delivery","Nachnahme"
